question_id,short_q,value
1,timestamp,Timestamp
2,is_u18,Are you under 18?
3,year_first_played_croquet,In what year did you first play croquet? This may have been in the garden or at a club. Please give an approximate year if you can_„Žt remember....3
4,influences,Which of the following influenced you to take up croquet? Please tick all that apply.
5,influences_top,Which of the above was the single most important reason for taking up the game? Please specify the number between 1 and 12 from the list above (12=Other).
6,important_aspects,What aspects of croquet are important to you now? Please tick all that you consider important
7,covid_impacts,What effect has the Covid-19 pandemic had on your croquet activity?
8,is_club_member,Are you a member of a croquet club?
9,why_no_longer_club_member,You said you are no longer a member of a croquet club - why is that? Please tick all that are applicable.
10,year_first_joined_a_club,In which year did you first join a croquet club? Please give an approximate year if you can_„Žt remember....10
11,year_last_member,...and in which year were you last a member?
12,is_ca_member,Are you a member of the Croquet Association (CA)?...12
13,vfm_club_subs,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Annual club subscription]...13
14,vfm_ca_prem_subs,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [CA Premium membership subscription]...14
15,vfm_ca_tournament_entry_fees,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [CA Fixture Calendar Tournament entry fees]
16,vfm_fed_tournament_entry_fees,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Federation tournament entry fees]
17,vfm_academy_coaching_courses,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Academy coaching courses]...17
18,is_ca_member2,Are you a member of the Croquet Association (CA)?...18
19,club_subs,What will you pay for your 2022 annual club subscription of your main club (or croquet section of a multi-sport club)?
20,how_pay_club_subs,How do you pay the annual club subscription of your main club?
21,other_club_costs,Apart from your annual subscription do you pay for any of the following at your club?
22,year_first_joined_a_club2,In which year did you first join a croquet club? Please give an approximate year if you can_„Žt remember....22
23,mem_more_than_one_club,Are you a member of more than one croquet club? (Include any category of membership)
24,distance_home_to_main_club,How far do you travel from home to your main club?...24
25,vfm_club_subs2,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Annual club subscription]...25
26,vfm_ca_prem_subs2,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [CA Premium membership subscription]...26
27,vfm_ca_tournament_entry_fees2,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Tournament entry fees (CA Fixtures Calendar)]
28,vfm_fed_tournament_entry_fees2,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Tournament entry fees (Federation)]
29,vfm_academy_coaching_courses2,What is your opinion of 'value for money' in croquet? Please put one tick in each row. [Academy coaching courses]...29
30,willing_to_share_birthyear,"Currently only your name, handicap, colour vision status, club, croquet qualifications and contact details are held on the CA database (plus DoB if under 25). In future, would you be willing for the following to be collected and held confidentially as well, purely for statistical purposes? [Year of birth]"
31,willing_to_share_gender,"Currently only your name, handicap, colour vision status, club, croquet qualifications and contact details are held on the CA database (plus DoB if under 25). In future, would you be willing for the following to be collected and held confidentially as well, purely for statistical purposes? [Gender]"
32,willing_to_share_ethnicity,"Currently only your name, handicap, colour vision status, club, croquet qualifications and contact details are held on the CA database (plus DoB if under 25). In future, would you be willing for the following to be collected and held confidentially as well, purely for statistical purposes? [Ethnicity]"
33,willing_to_pay_more_for_croquet,"The CA is run almost entirely by volunteers, which has kept fees to a minimum. With higher levels of activity and the expanding bureaucratic burden put on all sports bodies, the workload for volunteers is increasing. It is likely that more people will have to be employed to support growth and assist volunteers. Would you be prepared to pay more for your croquet to support such recruitment?"
34,when_left_ca_mem,"You said you have been a CA member but are no longer one, when did you leave?"
35,why_stopped_ca_mem,Why did you choose to stop your CA membership?
36,handicap_ac,"If you have an AC handicap, what is it? (Skip this question if you don't have a handicap)...36"
37,handicap_gc,"If you have a GC handicap, what is it? (Skip this question if you don't have a handicap)...37"
38,had_croquet_career_break,Have you had a croquet 'career' break of more than 3 years in which you did not play at all or played only very occasionally?
39,croquet_career_break_reason,You said that you have had a 'career' break from croquet. What is the main reason for that?
40,main_code_played,"Which code of croquet do you mostly, or only, play?...40"
41,oft_play_garden_croquet,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [Garden Croquet]
42,oft_play_short_croquet,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [Short Croquet]
43,oft_play_ac_handicap,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [AC - handicap]
44,oft_play_ac_advanced,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [AC - advanced]
45,oft_play_ac_super_advanced,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [AC - super advanced]
46,oft_play_gc_handicap,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [GC - handicap ]
47,oft_play_gc_level,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [GC - level]
48,oft_play_ac_doubles,How often do you play the various types of croquet?  Please put one tick in each row.  Short Croquet is a 14 point version of AC played on a half-size lawn. ('Frequently' and 'Occasionally' are relative to how often you play.)  [AC doubles]
